sort20220911	CollectionCode2018	CollectionCode2019	VeryOldCC	CollectionCodeOld	CollectionCode	etOHstorageLoc	TransferNotes	BiogeographicRegion	Country	Adm1	Adm2	Region	Locale	LocalityCode	LocalityCode2	LocalityNotes	DateCollectedStart	DateCollectedEnd	Time	Method	Lat	Lon	LatLonMaxError	Datum	Elevation	ElevationMaxError	Habitat	Microhabitat	Medium	CollectedBy	CollectionNotes	LocatedAt	OwnedBy	TaxonNotes
198	RPO#0159	RPO#0198	173	RO-07-CP-51	RPO#0198	U2020-II		North America	Mexico	Baja California Sur	Mulegé		BahÃ­a Concepción				1/7/2007			hand	26.7305	-111.9105	10 m	WGS 84	26	Acquired through GBIF in 2015 from lat/lon		nest on ground	pinned	RP Overson	collected on N side of beach as sand gives way to brush and rock			
199	RPO#0160	RPO#0199	174	RO-07-CP-52	RPO#0199	U2020-II		North America	Mexico	Baja California Sur	Mulegé		Guerrero Negro				1/10/2007			hand	27.9679	-114.036	10 m	WGS 84	2	Acquired through GBIF in 2015 from lat/lon	Viscaino Sonoran desertscrub	nest on ground	pinned	RP Overson				
200	RPO#0161	RPO#0200	175	RO-07-300	RPO#0200	U2020-II		North America	USA	AZ	Maricopa	Tonto National Forest	First Water Trailhead				4/4/2007			hand	33.4787	-111.4422	10 m	WGS 84	736	Acquired through GBIF in 2015 from lat/lon		under rock	75% EtOH	RP Overson				
201	RPO#0165	RPO#0204	179	RO-07-301	RPO#0201			North America	USA	AZ	Gila	Fossil Springs Trail	~0.8 km from trailhead				4/8/2007			hand	34.41	-111.56	1000 m	WGS 84	1724	Acquired through GBIF in 2015 from lat/lon	Great Basin conifer woodland		pinned	RP Overson				
202	RPO#0162	RPO#0201	176	RO-07-CP-40	RPO#0202	U2020-II		North America	USA	CA	San Diego	Cleveland National Forest	Pine Valley				7/4/2007			hand	32.824	-116.528	100 m	WGS 84	1155	Acquired through GBIF in 2015 from lat/lon	Californian chapparal	nest on ground	pinned	RP Overson				
203	RPO#0163	RPO#0202	177	RO-07-CP-41	RPO#0203	U2020-II		North America	USA	CA	San Diego	Cleveland National Forest	Pine Valley				7/4/2007			hand	32.824	-116.528	100 m	WGS 84	1155	Acquired through GBIF in 2015 from lat/lon	Californian chapparal	nest on ground	pinned	RP Overson				
204	RPO#0164	RPO#0203	178	RO-07-CP-42	RPO#0204	U2020-II		North America	USA	CA	San Diego	Cleveland National Forest	Pine Valley				7/4/2007			hand	32.824	-116.528	100 m	WGS 84	1155	Acquired through GBIF in 2015 from lat/lon	Californian chapparal	nest on ground	pinned	RP Overson				
205	2007-10032	RPO#0205	#N/A	2007-10032	RPO#0205	U2020-II		North America	USA	CA	San Diego	Cleveland National Forest	Pine Valley				7/4/2007			hand	32.824	-116.528	100	WGS 84	1155			nest on ground	100% EtOH	RP Overson	Original field collection code: PC112			
206	2007-10033	RPO#0206	#N/A	2007-10033	RPO#0206	U2020-II		North America	USA	CA	San Diego	Cleveland National Forest	Pine Valley				7/4/2007			hand	32.824	-116.528	100	WGS 84	1155			nest on ground	100% EtOH	RP Overson	Original field collection code: PC113			
207	RPO#0170	RPO#0218	183	RO-08-CP-60	RPO#0207			North America	USA	CA	San Diego		Alpine				6/21/2008			hand	32.833	-116.7382	30 m	WGS 84	678	Acquired through GBIF in 2015 from lat/lon	suburban	nest on ground	pinned	RP Overson				
208	2008-10036	RPO#0209	#N/A	2008-10036	RPO#0208	U2020-II		North America	USA	CA	San Diego	Alpine	Alpine Boulevard				6/21/2008			hand	32.833	-116.738	100	WGS 84	680			nest on ground	100% EtOH	RP Overson	Original field collection code: PC151			
209	2008-10037	RPO#0210	#N/A	2008-10037	RPO#0209	U2020-II		North America	USA	CA	San Diego	Alpine	Alpine Boulevard				6/21/2008			hand	32.833	-116.738	100	WGS 84	631			nest on ground	100% EtOH	RP Overson	Original field collection code: PC153			
210	RPO#0169	RPO#0217	184	RO-08-CP-59	RPO#0210			North America	USA	CA	San Diego		Shockey Truck Trail				6/21/2008			hand	32.6285	-116.4014	30 m	WGS 84	910	Acquired through GBIF in 2015 from lat/lon	Californian chapparal	nest on ground	pinned	RP Overson				
211	2008-10034	RPO#0207	#N/A	2008-10034	RPO#0211	U2020-II		North America	USA	CA	San Diego		Shockey Truck Trail North				6/21/2008			hand	32.628	-116.401	100	WGS 84	916			nest on ground	100% EtOH	RP Overson	Original field collection code: PC139			
212	2008-10035	RPO#0208	#N/A	2008-10035	RPO#0212	U2020-II		North America	USA	CA	San Diego		Shockey Truck Trail North				6/21/2008			hand	32.628	-116.401	100	WGS 84	916			nest on ground	100% EtOH	RP Overson	Original field collection code: PC141			
213	RPO#0171	RPO#0219	185	RO-08-CP-61	RPO#0213			North America	USA	CA	San Diego		Lake Sutherland				6/22/2008			hand	33.1082	-116.7873	30 m	WGS 84	674	Acquired through GBIF in 2015 from lat/lon	Californian evergreen woodland	nest on ground	pinned	RP Overson				
214	2008-10038	RPO#0211	#N/A	2008-10038	RPO#0214	U2020-II		North America	USA	CA	San Diego		Lake Sutherland				6/22/2008			hand	33.108	-116.787	100	WGS 84	644			nest on ground	100% EtOH	RP Overson	Original field collection code: PC174			
215	2008-10039	RPO#0212	#N/A	2008-10039	RPO#0215	U2020-II		North America	USA	CA	San Diego		Lake Sutherland				6/22/2008			hand	33.108	-116.787	100	WGS 84	644			nest on ground	100% EtOH	RP Overson	Original field collection code: PC177			
216	RPO#0166	RPO#0213	180	RO-08-Suth-1	RPO#0216	U2020-II		North America	USA	WA	Clallam		Lake Sutherland				6/22/2008			hand	48.08	-123.71	1000 m	WGS 84	156	Acquired through GBIF in 2015 from lat/lon		nest on ground	75% EtOH	RP Overson	on cleared areas near lake			
217	RPO#0167	RPO#0214	181	RO-08-Suth-2	RPO#0217	U2020-II		North America	USA	WA	Clallam		Lake Sutherland				6/22/2008			hand	48.08	-123.71	1000 m	WGS 84	156	Acquired through GBIF in 2015 from lat/lon		nest on ground	75% EtOH	RP Overson	on cleared areas near lake			
218	RPO#0167	RPO#0215	181	RO-08-Suth-2	RPO#0218			North America	USA	WA	Clallam		Lake Sutherland				6/22/2008			hand	48.08	-123.71	1000 m	WGS 84	207	Acquired through GBIF in 2015 from lat/lon		nest on ground	75% EtOH	RP Overson	on cleared areas near lake			
219	RPO#0168	RPO#0216	182	RO-08-Suth-3	RPO#0219	U2020-II		North America	USA	WA	Clallam		Lake Sutherland				6/22/2008			hand	48.08	-123.71	1000 m	WGS 84	156	Acquired through GBIF in 2015 from lat/lon		nest on ground	75% EtOH	RP Overson	on cleared areas near lake			
220	2009-10040	RPO#0220	#N/A	2009-10040	RPO#0220	U2020-II		North America	USA	AZ	Yuma		Dateland				6/21/2009			hand	32.799	-113.534	100	WGS 84	138			nest on ground	100% EtOH	RP Overson	Original field collection code: PC193			
221	2009-10041	RPO#0221	#N/A	2009-10041	RPO#0221	U2020-II		North America	USA	AZ	Yuma		Dateland				6/21/2009			hand	32.799	-113.534	100	WGS 84	138			nest on ground	100% EtOH	RP Overson	Original field collection code: PC194			
222	2009-10042	RPO#0222	#N/A	2009-10042	RPO#0222	U2020-II		North America	Mexico	Baja California Sur	Tecate		Alvarez				6/22/2009			hand	32.512	-116.283	100	WGS 84	1068			nest on ground	100% EtOH	RP Overson	Original field collection code: PC197			
223	2009-10043	RPO#0223	#N/A	2009-10043	RPO#0223	U2020-II		North America	Mexico	Baja California Sur	Tecate		Alvarez				6/22/2009			hand	32.512	-116.283	100	WGS 84	1068			nest on ground	100% EtOH	RP Overson	Original field collection code: PC200			
224	2009-10044	RPO#0224	#N/A	2009-10044	RPO#0224	U2020-II		North America	Mexico	Baja California Sur	Tecate		Campground Rancho Ojai				6/22/2009			hand	32.559	-116.436	100	WGS 84	861			nest on ground	100% EtOH	RP Overson	Original field collection code: PC205			
225	2009-10045	RPO#0225	#N/A	2009-10045	RPO#0225	U2020-II		North America	Mexico	Baja California Sur	Tecate		Nueva Colonia Hindú				6/22/2009			hand	32.503	-116.587	100	WGS 84	688			nest on ground	100% EtOH	RP Overson	Original field collection code: PC206			
226	2009-10046	RPO#0226	#N/A	2009-10046	RPO#0226	U2020-II		North America	Mexico	Baja California Sur	Tecate		Nueva Colonia Hindú				6/22/2009			hand	32.503	-116.587	100	WGS 84	688			nest on ground	100% EtOH	RP Overson	Original field collection code: PC207			
227	2009-10047	RPO#0227	#N/A	2009-10047	RPO#0227	U2020-II		North America	Mexico	Baja California Norte	Ensenada		Francisco Zarco				6/22/2009			hand	32.09	-116.564	100	WGS 84	341			nest on ground	100% EtOH	RP Overson	Original field collection code: PC212			
228	2009-10048	RPO#0228	#N/A	2009-10048	RPO#0228	U2020-II		North America	Mexico	Baja California Norte	Ensenada		Francisco Zarco				6/22/2009			hand	32.09	-116.564	100	WGS 84	341			nest on ground	100% EtOH	RP Overson	Original field collection code: PC213			
229	2009-10049	RPO#0229	#N/A	2009-10049	RPO#0229	U2020-II		North America	Mexico	Baja California Norte	Ensenada		Road to La Bocana Santo Tomás				6/23/2009			hand	31.57	-116.563	100	WGS 84	68			nest on ground	100% EtOH	RP Overson	Original field collection code: PC222			
230	2009-10050	RPO#0230	#N/A	2009-10050	RPO#0230	U2020-II		North America	Mexico	Baja California Norte	Ensenada		Road to La Bocana Santo Tomás				6/23/2009			hand	31.57	-116.563	100	WGS 84	68			nest on ground	100% EtOH	RP Overson	Original field collection code: PC223			
231	2009-10051	RPO#0231	#N/A	2009-10051	RPO#0231	U2020-II		North America	Mexico	Baja California Norte	Ensenada		San Vicente				6/23/2009			hand	31.333	-116.253	100	WGS 84	100			nest on ground	100% EtOH	RP Overson	Original field collection code: PC235			
232	2009-10052	RPO#0232	#N/A	2009-10052	RPO#0232	U2020-II		North America	Mexico	Baja California Norte	Ensenada		San Vicente				6/23/2009			hand	31.333	-116.253	100	WGS 84	100			nest on ground	100% EtOH	RP Overson	Original field collection code: PC240			
233	2009-10053	RPO#0233	#N/A	2009-10053	RPO#0233	U2020-II		North America	Mexico	Baja California Norte	Ensenada		Nuevo Uruapan				6/24/2009			hand	30.073	-115.7	100	WGS 84	38			nest on ground	100% EtOH	RP Overson	Original field collection code: PC245			
234	2009-10054	RPO#0234	#N/A	2009-10054	RPO#0234	U2020-II		North America	Mexico	Baja California Norte	Ensenada		Nuevo Uruapan				6/24/2009			hand	30.073	-115.7	100	WGS 84	38			nest on ground	100% EtOH	RP Overson	Original field collection code: PC249			
235	2009-10055	RPO#0235	#N/A	2009-10055	RPO#0235	U2020-II		North America	Mexico	Baja California Norte	Ensenada		2.3 km SE Nueva Odisea				6/24/2009			hand	30.37	-115.833	100	WGS 84	22			nest on ground	100% EtOH	RP Overson	Original field collection code: PC256			
236	2009-10056	RPO#0236	#N/A	2009-10056	RPO#0236	U2020-II		North America	Mexico	Baja California Norte	Ensenada		2.3 km SE Nueva Odisea				6/24/2009			hand	30.37	-115.833	100	WGS 84	22			nest on ground	100% EtOH	RP Overson	Original field collection code: PC260			
237	2009-10057	RPO#0237	#N/A	2009-10057	RPO#0237	U2020-II		North America	Mexico	Baja California Norte	Ensenada		Villa Hidalgo				6/25/2009			hand	30.965	-116.154	100	WGS 84	37			nest on ground	100% EtOH	RP Overson	Original field collection code: PC266			
238	2009-10058	RPO#0238	#N/A	2009-10058	RPO#0238	U2020-II		North America	Mexico	Baja California Norte	Ensenada		Villa Hidalgo				6/25/2009			hand	30.965	-116.154	100	WGS 84	37			nest on ground	100% EtOH	RP Overson	Original field collection code: PC271			
239	2009-10059	RPO#0239	#N/A	2009-10059	RPO#0239	U2020-II		North America	Mexico	Baja California Norte	Ensenada		3.7 km 295 degrees northwest of La Grulla				6/25/2009			hand	31.636	-116.496	100	WGS 84	163			nest on ground	100% EtOH	RP Overson	Original field collection code: PC275			
240	2009-10060	RPO#0240	#N/A	2009-10060	RPO#0240	U2020-II		North America	Mexico	Baja California Norte	Ensenada		3.7 km 295 degrees northwest of La Grulla				6/25/2009			hand	31.636	-116.496	100	WGS 84	163			nest on ground	100% EtOH	RP Overson	Original field collection code: PC280			
241	2009-10061	RPO#0241	#N/A	2009-10061	RPO#0241	U2020-II		North America	USA	CA	San Diego	Cleveland National Forest	Lake Morena				6/27/2009			hand	32.685	-116.521	100	WGS 84	936			nest on ground	100% EtOH	RP Overson	Original field collection code: PC285			
242	2009-10062	RPO#0242	#N/A	2009-10062	RPO#0242			North America	USA	CA	San Diego	Cleveland National Forest	Lake Morena				6/27/2009			hand	32.685	-116.521	100	WGS 84	936			nest on ground	100% EtOH	RP Overson	Original field collection code: PC289			
243	2009-10063	RPO#0243	#N/A	2009-10063	RPO#0243	U2020-II		North America	USA	CA	San Diego		Sweetwater Regional Park				6/27/2009			hand	32.649	-117.056	100	WGS 84	22			nest on ground	100% EtOH	RP Overson	Original field collection code: PC298			
244	2009-10064	RPO#0244	#N/A	2009-10064	RPO#0244	U2020-II		North America	USA	CA	San Diego		Sweetwater Regional Park				6/27/2009			hand	32.649	-117.056	100	WGS 84	22			nest on ground	100% EtOH	RP Overson	Original field collection code: PC300			
245	2009-10065	RPO#0245	#N/A	2009-10065	RPO#0245	U2020-II		North America	USA	CA	San Diego		Lyons Valley Road & Skyline Truck Trail				6/27/2009			hand	32.712	-116.747	100	WGS 84	713			nest on ground	100% EtOH	RP Overson	Original field collection code: PC306			
246	2009-10066	RPO#0246	#N/A	2009-10066	RPO#0246	U2020-II		North America	USA	CA	San Diego		Lyons Valley Road & Skyline Truck Trail				6/27/2009			hand	32.712	-116.747	100	WGS 84	713			nest on ground	100% EtOH	RP Overson	Original field collection code: PC312			
247	2009-10067	RPO#0247	#N/A	2009-10067	RPO#0247	U2020-II		North America	USA	CA	San Diego	Anza-Borrego Desert State Park	Scissors Crossing				6/30/2009			hand	33.093	-116.485	100	WGS 84	726			nest on ground	100% EtOH	RP Overson	Original field collection code: PC316			
248	2009-10068	RPO#0248	#N/A	2009-10068	RPO#0248	U2020-II		North America	USA	CA	Imperial	Salton City	Sea Port Avenue				7/4/2009			hand	33.324	-115.939	100	WGS 84	-69			nest on ground	100% EtOH	RP Overson	Original field collection code: PC320			
249	RPO#0172	RPO#0249	186	RO-12-AK-1	RPO#0249	U2020-III		North America	USA	CA	Riverside	Joshua Tree National Park	Black Eagle Mine Road				5/2/2012			hand	33.8526	-115.7125	30 m	WGS 84	643	Acquired through GBIF in 2015 from lat/lon	Mohave desertscrub	nest on ground	75% EtOH	RP Overson				
250	RPO#0173	RPO#0250	187	RO-12-AK-2	RPO#0250	U2020-III		North America	USA	CA	Riverside	Joshua Tree National Park	Black Eagle Mine Road				5/2/2012			hand	33.8526	-115.7125	30 m	WGS 84	643	Acquired through GBIF in 2015 from lat/lon	Mohave desertscrub	nest on ground	75% EtOH	RP Overson				
251	RPO#0174	RPO#0251	188	RO-12-AK-3	RPO#0251	U2020-III		North America	USA	CA	San Luis Obispo	Oceano Dunes State Recreation Area	Oso Flaco Lake Boardwalk				5/6/2012			hand	35.03	-120.624	300 m	WGS 84	15	Acquired through GBIF in 2015 from lat/lon	coastal sand dunes		75% EtOH	RP Overson				
252	RPO#0174	RPO#0252	188	RO-12-AK-3	RPO#0252			North America	USA	CA	San Luis Obispo	Oceano Dunes State Recreation Area	Oso Flaco Lake Boardwalk				5/6/2012			hand	35.03	-120.624	300 m	WGS 84	15	Acquired through GBIF in 2015 from lat/lon	coastal sand dunes		75% EtOH	RP Overson				
253	RPO#0175	RPO#0253	189	RO-12-AK-4	RPO#0253			North America	USA	CA	San Luis Obispo	Oceano Dunes State Recreation Area	Oso Flaco Lake Boardwalk				5/6/2012			hand	35.03	-120.624	300 m	WGS 84	15	Acquired through GBIF in 2015 from lat/lon	coastal sand dunes		75% EtOH	RP Overson				
254	RPO#0176	RPO#0254	190	RO-12-AK-5	RPO#0254	U2020-III		North America	USA	CA	San Luis Obispo	Montaña de Oro State Park	Barranca Trail				5/7/2012			hand	35.278	-120.849	500 m	WGS 84	172	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
255	RPO#0177	RPO#0255	191	RO-12-AK-6	RPO#0255	U2020-III		North America	USA	CA	San Luis Obispo	Montaña de Oro State Park	Barranca Trail				5/7/2012			hand	35.278	-120.849	500 m	WGS 84	172	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
256	RPO#0177	RPO#0256	191	RO-12-AK-6	RPO#0256			North America	USA	CA	San Luis Obispo	Montaña de Oro State Park	Barranca Trail				5/7/2012			hand	35.278	-120.849	500 m	WGS 84	172	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
257	RPO#0178	RPO#0257	193	RO-12-AK-7	RPO#0257	U2020-III		North America	USA	CA	San Luis Obispo	Montaña de Oro State Park	Barranca Trail				5/7/2012			hand	35.278	-120.849	500 m	WGS 84	172	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
258	RPO#0179	RPO#0258	194	RO-12-AK-8	RPO#0258	U2020-III		North America	USA	CA	San Luis Obispo	Montaña de Oro State Park	Barranca Trail				5/7/2012			hand	35.278	-120.849	500 m	WGS 84	172	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
259	RPO#0180	RPO#0259	195	RO-12-AK-9	RPO#0259	U2020-III		North America	USA	CA	San Luis Obispo	Montaña de Oro State Park	Barranca Trail				5/7/2012			hand	35.278	-120.849	500 m	WGS 84	172	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
260	RPO#0181	RPO#0260	196	RO-12-AK-11	RPO#0260	U2020-III		North America	USA	CA	San Luis Obispo	Estero Bay	~2.8 road miles N of Cayucos				5/9/2012			hand	35.454	-120.955	300 m	WGS 84	14	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
261	RPO#0182	RPO#0261	200	RO-12-AK-13	RPO#0261	U2020-III		North America	USA	CA	Fresno	Panoche Valley	Mercey Hot Springs				5/16/2012			hand	36.7042	-120.8594	30 m	WGS 84	358	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
262	RPO#0183	RPO#0262	201	RO-12-AK-14	RPO#0262	U2020-III		North America	USA	CA	Fresno	Panoche Valley	Mercey Hot Springs				5/16/2012			hand	36.7042	-120.8594	30 m	WGS 84	358	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
263	RPO#0184	RPO#0263	202	RO-12-AK-15	RPO#0263	U2020-III		North America	USA	CA	San Benito	Pinnacles National Park	Pinnacles Campground				5/16/2012			hand	36.492	-121.147	200 m	WGS 84	405	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
264	RPO#0185	RPO#0264	203	RO-12-AK-16	RPO#0264	U2020-III		North America	USA	CA	San Benito	Pinnacles National Park	Pinnacles Campground				5/16/2012			hand	36.492	-121.147	200 m	WGS 84	405	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
265	RPO#0186	RPO#0265	204	RO-12-AK-17	RPO#0265	U2020-III		North America	USA	CA	San Benito	Pinnacles National Park	Pinnacles Campground				5/16/2012			hand	36.492	-121.147	200 m	WGS 84	405	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
266	RPO#0187	RPO#0266	205	RO-12-AK-18	RPO#0266	U2020-III		North America	USA	CA	San Benito	Pinnacles National Park	Pinnacles Campground				5/16/2012			hand	36.492	-121.147	200 m	WGS 84	405	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
267	RPO#0188	RPO#0267	206	RO-12-AK-19	RPO#0267			North America	USA	CA	San Benito	Pinnacles National Park	Pinnacles Campground				5/16/2012			hand	36.492	-121.147	200 m	WGS 84	405	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
268	RPO#0189	RPO#0268	207	RO-12-AK-20	RPO#0268	U2020-III		North America	USA	CA	San Benito	Pinnacles National Park	Pinnacles Campground				5/16/2012			hand	36.492	-121.147	200 m	WGS 84	405	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson	in tree groves adjacent to campground			
269	RPO#0190	RPO#0269	208	RO-12-AK-21	RPO#0269	U2020-III		North America	USA	CA	San Benito	Pinnacles National Park	Pinnacles Campground				5/16/2012			hand	36.492	-121.147	200 m	WGS 84	405	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson	in tree groves adjacent to campground			
270	RPO#0191	RPO#0270	209	RO-12-AK-22	RPO#0270			North America	USA	CA	San Benito	Pinnacles National Park	Pinnacles Campground				5/16/2012			hand	36.492	-121.147	200 m	WGS 84	405	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
271	RPO#0192	RPO#0271	197	RO-12-AK-23	RPO#0271	U2020-III		North America	USA	CA	San Benito	Pinnacles National Park	Condor Gulch Trail				5/16/2012			hand	36.483	-121.191	700 m	WGS 84	586	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson	Somewhere between trailhead and intersection with High Peaks Trail			
272	RPO#0193	RPO#0272	198	RO-12-AK-24	RPO#0272	U2020-III		North America	USA	CA	San Benito	Pinnacles National Park	Condor Gulch Trail				5/16/2012			hand	36.483	-121.191	700 m	WGS 84	586	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson	Somewhere between trailhead and intersection with High Peaks Trail			
273	RPO#0194	RPO#0273	199	RO-12-AK-25	RPO#0273	U2020-III		North America	USA	CA	San Benito	Pinnacles National Park	Condor Gulch Trail				5/16/2012			hand	36.483	-121.191	700 m	WGS 84	586	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson	Somewhere between trailhead and intersection with High Peaks Trail			
274	RPO#0195	RPO#0274	210	RO-12-AK-26	RPO#0274	U2020-III		North America	USA	Ca	Marin	Point Reyes National Seashore	Point Reyes Lighthouse				5/22/2012			hand	37.9973	-123.01	50 m	WGS 84	3	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
275	RPO#0196	RPO#0275	211	RO-12-AK-27	RPO#0275	U2020-III		North America	USA	Ca	Marin	Point Reyes National Seashore	Point Reyes Lighthouse				5/22/2012			hand	37.9973	-123.01	50 m	WGS 84	3	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
276	RPO#0196	RPO#0276	211	RO-12-AK-27	RPO#0276			North America	USA	Ca	Marin	Point Reyes National Seashore	Point Reyes Lighthouse				5/22/2012			hand	37.9973	-123.01	50 m	WGS 84	3	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
277	RPO#0197	RPO#0277	212	RO-12-AK-28	RPO#0277			North America	USA	Ca	Marin	Point Reyes National Seashore	Point Reyes Lighthouse				5/22/2012			hand	37.9973	-123.01	50 m	WGS 84	3	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
278	RPO#0198	RPO#0278	213	RO-12-AK-29	RPO#0278	U2020-III		North America	USA	Ca	Marin	Point Reyes National Seashore	Point Reyes Lighthouse				5/22/2012			hand	37.9973	-123.01	50 m	WGS 84	3	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
279	RPO#0199	RPO#0279	214	RO-12-AK-30	RPO#0279	U2020-III		North America	USA	CA	Humboldt	Humbolt Redwood State Park	Big Tree Area				5/24/2012			hand	40.35	-123.9916	30 m	WGS 84	111	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
280	RPO#0200	RPO#0280	215	RO-12-AK-31	RPO#0280	U2020-III		North America	USA	CA	Humboldt	Humbolt Redwood State Park	Big Tree Area				5/25/2012			hand	40.35	-123.9916	30 m	WGS 84	111	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
281	RPO#0201	RPO#0281	216	RO-12-AK-32	RPO#0281	U2020-III		North America	USA	CA	Humboldt	Meyers Flat	Giant Redwoods RV and Camp				5/25/2012			hand	40.2634	-123.8792	10 m	WGS 84	104	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
282	RPO#0202	RPO#0282	217	RO-12-AK-33	RPO#0282	U2020-III		North America	USA	Or	Lane	Sea Lion Point	Sea Lion Caves Trail				5/28/2012			hand	44.1212	-124.1266	10 m	WGS 84	95	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
283	RPO#0202	RPO#0283	217	RO-12-AK-33	RPO#0283			North America	USA	Or	Lane	Sea Lion Point	Sea Lion Caves Trail				5/28/2012			hand	44.1212	-124.1266	10 m	WGS 84	95	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
284	RPO#0202	RPO#0284	217	RO-12-AK-33	RPO#0284			North America	USA	Or	Lane	Sea Lion Point	Sea Lion Caves Trail				5/28/2012			hand	44.1212	-124.1266	10 m	WGS 84	95	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
285	RPO#0202	RPO#0285	217	RO-12-AK-33	RPO#0285			North America	USA	Or	Lane	Sea Lion Point	Sea Lion Caves Trail				5/28/2012			hand	44.1212	-124.1266	10 m	WGS 84	95	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
286	RPO#0203	RPO#0286	220	RO-12-AK-34	RPO#0286	U2020-III		North America	USA	WA	Clallam	Olympic National Forest	Hurricane Ridge				6/6/2012			hand	47.969	-123.516	100 m	WGS 84	1423	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
287	RPO#0204	RPO#0287	221	RO-12-AK-35	RPO#0287	U2020-III		North America	USA	WA	Clallam	Olympic National Forest	Hurricane Ridge				6/6/2012			hand	47.969	-123.516	100 m	WGS 84	1423	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
288	RPO#0204	RPO#0288	221	RO-12-AK-35	RPO#0288			North America	USA	WA	Clallam	Olympic National Forest	Hurricane Ridge				6/6/2012			hand	47.969	-123.516	100 m	WGS 84	1314	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
289	RPO#0204	RPO#0289	221	RO-12-AK-35	RPO#0289			North America	USA	WA	Clallam	Olympic National Forest	Hurricane Ridge				6/6/2012			hand	47.969	-123.516	100 m	WGS 84	1314	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
290	RPO#0204	RPO#0290	221	RO-12-AK-35	RPO#0290			North America	USA	WA	Clallam	Olympic National Forest	Hurricane Ridge				6/6/2012			hand	47.969	-123.516	100 m	WGS 84	1314	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
291	RPO#0205	RPO#0291	222	RO-12-AK-36	RPO#0291	U2020-III		North America	USA	WA	Clallam	Olympic National Forest	Hurricane Ridge				6/6/2012			hand	47.969	-123.516	100 m	WGS 84	1423	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
292	RPO#0206	RPO#0292	223	RO-12-AK-37	RPO#0292			North America	USA	WA	Clallam	Olympic National Forest	Hurricane Ridge				6/6/2012			hand	47.969	-123.516	100 m	WGS 84	1423	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
293	RPO#0207	RPO#0293	224	RO-12-AK-38	RPO#0293	U2020-III		North America	Canada	Bc	Capital	Vancouver Island	Sombrio Beach				6/8/2012			hand	48.501	-124.304	100 m	WGS 84	5	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
294	RPO#0208	RPO#0294	225	RO-12-AK-39	RPO#0294	U2020-III		North America	Canada	Bc	Capital	Vancouver Island	Goldstream Park				6/10/2012			hand	48.46	-123.559	100 m	WGS 84	74	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
